Product Name,Brand,Category,Company,Purchase Price,Cost Price,Retail Price,Wholesale Price,Dealer Price,Boxes per Carton,Stock Quantity,Min Stock Level,SKU,Barcode,Description
Kilfa toffee Rs. 1,,Toffee,Gibs,3010,,3060,3040,3010,24,25,,,,
Eclairs toffee Rs. 1,,Toffee,Gibs,3010,,3060,3040,3010,24,80,,,,
Eclairs Jar Rs. 2 (100-p),,Toffee,Gibs,3016,,3100,3046,3016,18,0,,,,
Chocolay toffee Jar Rs. 5,,Toffee,Gibs,2710,,2880,2740,2710,12,0,,,,
Eclairs XL box Rs. 5,,Toffee,Gibs,2230,,2280,2250,2230,12,0,,,,
Eclairs XL Pouch Rs. 5,,Toffee,Gibs,2110,,2250,2200,2110,12,0,,,,
Makhan badami Rs. 5,,Toffee,Gibs,3010,,3060,3040,3010,24,0,,,,
Eclairs XL Jar Rs. 5,,Toffee,Gibs,2710,,2880,2740,2710,12,0,,,,
Makhan badami Rs 10,,Toffee,Gibs,3520,,3600,3550,3520,18,0,,,,
Makhan badami Rs. 20 new,,Toffee,Gibs,3250,,3510,3460,3250,18,0,,,,
Pacer toffee Rs. 5,,Toffee,Gibs,2770,,2950,2850,2770,24,0,,,,
Choco Bics D-Cup Rs. 50,,Chocolate,Gibs,3034,,3120,3064,3034,12,0,,,,
Kiddos magic egg Rs. 50,,Chocolate,Gibs,5482,,5640,5550,5482,12,0,,,,
Crave chocolate Rs. 50,,Chocolate,Gibs,5770,,5880,5800,5770,12,0,,,,
Double delight coconut Rs. 50,,Chocolate,Gibs,2830,,2940,2880,2830,12,0,,,,
Chocolatey Rings Biscuit Rs. 20,,Chocolate,Gibs,3250,,3480,3460,3250,18,0,,,,
Choco jammers Rs. 10,,Chocolate,Gibs,3430,,3520,3460,3430,18,100,,,,
Lootas choc. Coated biscuit Rs. 10,,Chocolate,Gibs,3430,,3520,3460,3430,18,0,,,,
Metro chocolate wafers Rs. 10,,Chocolate,Gibs,2938,,3050,3040,2938,24,150,,,,
Peanut chocolate bar Rs. 10,,Chocolate,Gibs,2530,,2760,2650,2530,24,0,,,,
Coconut chocolate bar Rs. 10,,Chocolate,Gibs,2530,,2760,2650,2530,24,0,,,,
Koket chocolate coconut Rs. 5,,Chocolate,Gibs,1738,,1850,1768,1738,18,0,,,,
Choco Nut Milk Choc. Rs.5,,Chocolate,Gibs,"2,170",,2214,2190,2170,18,0,,,,
Choco Strawberry Break Rs.5,,Chocolate,Gibs,"2,170",,2214,2190,2170,18,0,,,,
Desire Caramal Choco. Rs.5,,Chocolate,Gibs,"2,470",,2580,2530,2470,12,0,,,,
Kingjoy Chocolate Rs.5,,Chocolate,Gibs,"2,170",,2214,2190,2170,18,0,,,,
Coin Chocolate Rs.10 JAR,,Chocolate,Gibs,"4,810",,4980,4880,4810,12,0,,,,
Milk Delight Chocolate Rs.10,,Chocolate,Gibs,"3,610",,3680,3650,3610,18,0,,,,
Lush Star Hazelnut Rs.5 (60-P),,Chocolate,Gibs,"4,510",,4680,4600,4510,18,200,,,,
Chilli Shilli Chew Rs.5,,Chew range,Gibs,"1,690",,1800,1740,1690,24,0,,,,
Zombits Chew Blueberry Rs.5,,Chew range,Gibs,"1,690",,1800,1740,1690,24,0,,,,
Chilli Rope Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Rainbow Apple Strawberry Blueberry Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Rainbow Orange Strawberry Mango Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Tofe Rope Apple Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Tofe Rope Blueberry Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Zoomii Cola Chew Bar Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Zoomii Mango Chew Bar Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Zoomii Orange Chew Bar Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Zoomii Watermelon Chew Bar Rs.10,,Chew range,Gibs,"2,890",,3150,2950,2890,18,0,,,,
Yammii Chew Bites Rs10,,Chew range,Gibs,"3,160",,3420,3350,3160,18,0,,,,
Chocoz Beans Rs.5,,BUNTY,Gibs,"3,034",,3080,3064,3034,18,100,,,,
Chocoz Choco Beans Rs.10,,BUNTY,Gibs,"2,880",,3000,2930,2880,24,0,,,,
Marshmallow Ice Cone Rs.10,,MARSHMALLOW RANGE,Gibs,"2,710",,3350,3350,2710,18,0,,,,
Mallow Bites Strawberry Rs.10,,MARSHMALLOW RANGE,Gibs,"3,250",,3480,3460,3250,18,0,,,,
Peanut Classic Biscuit Rs.30,,Biscuit,Gibs,"2,530",,2610,2570,2530,18,0,,,,
Zeera Wala Cookies Rs.30,,Biscuit,Gibs,"3,370",,3480,3400,3370,24,0,,,,
Badam Cookies Rs.40,,Biscuit,Gibs,"3,412",,3510,3480,3412,18,0,,,,
Makhan Wala Cookies Rs40,,Biscuit,Gibs,"3,412",,3510,3480,3412,18,0,,,,
Short Bread Cookies Rs.40,,Biscuit,Gibs,"3,412",,3510,3480,3412,18,0,,,,
Energy Glucose Rs.40,,Biscuit,Gibs,"3,340",,3510,3480,3340,18,0,,,,
Up Classic Chocolate Rs.40,,Biscuit,Gibs,"3,340",,3510,3480,3340,18,0,,,,
Up Classic Egg & Milk Rs.40,,Biscuit,Gibs,"3,010",,3180,3120,3010,12,0,,,,
Golden Peanut Biscuit Rs.40,,Biscuit,Gibs,"3,010",,3180,3120,3010,12,0,,,,
Khas Zeera Biscuit Rs.40,,Biscuit,Gibs,"3,010",,3180,3120,3010,12,0,,,,
Lemini Sandwich Rs.40,,Biscuit,Gibs,"3,010",,3180,3120,3010,12,0,,,,
Passion Biscuit Rs.40,,Biscuit,Gibs,"3,010",,3180,3120,3010,12,0,,,,
UP Classic Egg & Milk Cookies Rs. 20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,60,,,,
Up Classic Ellaichi Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Kafeo Khatai Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Makhan Wala Butter Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,300,,,,
Milku Honey & Milk Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
New Peanut Pista HR Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Supreme Cookies Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Tea Break Cookies Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Zeera Wala Cookies Rs.20,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,30,,,,
UP Classic Chocolate Cookies Rs. 20,,Biscuit,Gibs,"2,332",,2430,2360,2350,18,20,,,,
Badam Cookies Rs.20,,Biscuit,Gibs,"3,466",,3600,3500,3466,18,0,,,,
Short Bread Cookies Rs.20,,Biscuit,Gibs,"3,466",,3600,3500,3466,18,0,,,,
Energy Glucose Rs.20,,Biscuit,Gibs,"3,340",,3600,3500,3340,18,0,,,,
Lootas Caramel Biscuit 20,,Biscuit,Gibs,"3,250",,3600,3500,3250,18,0,,,,
Baby Food Rs.10 (16-Pack),,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Butter Cookies Rs.10 (16-Pack),,Biscuit,Gibs,"2,314",,2430,2360,2314,18,20,,,,
Choco Doo Sandwich Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,20,,,,
Classic Lemon Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Crispy Zeera Rs. 10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,30,,,,
Glorio Strawberry Vanilla Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Glow Egg Biscuit Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Glucose Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Jim Jam Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,200,,,,
Kafeo Khatai Rs.10 (16-Pack),,Biscuit,Gibs,"2,314",,2430,2360,2314,18,50,,,,
Mango Masti Sandwich Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,200,,,,
Marie Biscuit Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Milk Short Cake Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Milku Honey & Milk Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
More Peanut Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
New Peanut Pista Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Peanut Pista Rs.10 (16-Pack),,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Pineapple Cookies Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Premo Choc Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Ringo Milk Glucose Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Smooper Cookies Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Top Crispy & Light (16-Pack),,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Top Mix Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
UP Classic Egg & Milk Cookies Rs10,,Biscuit,Gibs,"2,332",,2430,2360,2332,18,20,,,,
Choco Chip Cookies Rs.10,,Biscuit,Gibs,"2,350",,2430,2360,2350,18,0,,,,
UP Classic Chocolate Cookies Rs. 10,,Biscuit,Gibs,"2,332",,2430,2360,2350,18,100,,,,
Up Classic Ellaichi Rs.10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Makhan Wala Cookies Rs10,,Biscuit,Gibs,"3,394",,3510,3450,3394,18,0,,,,
Zeera Wala Cookies Rs10,,Biscuit,Gibs,"3,394",,3510,3450,3394,18,0,,,,
Energy Glucose Rs.10,,Biscuit,Gibs,"3,394",,3510,3450,3394,18,0,,,,
Little Hearts Biscuit Rs.10,,Biscuit,Gibs,"2,290",,2350,2320,2290,12,0,,,,
Bisclass Biscuit Rs10,,Biscuit,Gibs,"3,340",,3510,3400,3340,18,0,,,,
Short Bread Cookies Rs.10,,Biscuit,Gibs,"3,466",,3510,3480,3466,18,0,,,,
Baby Food Rs.5 (30-Packs),,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Double Cream Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Glucose Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Glow Egg Biscuit Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
